Maria A'Becket,
Hans von Aachen,
Alvar Aalto,
Magdalena Abakanowicz,
Masseot Abaquesne,
Riza-i Abbasi,
Louise Abbema,
Edwin Austin Abbey,
Berenice Abbott,
John White Abbott,
Lemuel Francis Abbott,
Abel de Pujol,
Sigmund Abeles,
Gertrude Abercrombie,
Tony Abeyta,
Nicolai Abildgaard,
Ivor Abrahams,
Mark Abrahamson,
Marina Abramovic,
Albert Abramowitz,
John Absolon,
Tomma Abts,
Carla Accardi,
Vito Acconci,
Andreas Achenbach,
Oswald Achenbach,
Chris Achilleos,
The Achilles Painter,
Franz Ackermann,
Max Ackermann,
Roger Ackling,
Lambert-Sigisbert Adam,
Nicolas-Sebastien Adam,
Robert Adam,
Valerio Adami,
Ansel Adams,
Clinton Adams,
Herbert Adams,
John Ottis Adams,
John Wolcott Adams,
Robert Adams,
Wayman Adams,
Robert Adams 1937,
Robert Adamson,
Louis-Emile Adan,
Bas Jan Ader,
Agbonbiofe Adeshina,
Jankel Adler,
George Adomeit,
Alexander Adriaenssen,
Pieter Coecke van Aelst,
Willem van Aelst,
Pieter Aertsen,
The Affecter,
Yaacov Agam,
Eileen Agar,
Jacques-Laurent Agasse,
Knud Agger,
Agostino di Duccio,
Agostino di Giovanni,
Agostino Veneziano,
Joaquin Agrasot y Juan,
John Ahearn,
Eija-Liisa Ahtila,
Ai Weiwei,
William Aikman,
Mario Airo,
Craigie Aitchison,
Doug Aitken,
Ivan Aivazovsky,
Giuseppe Ajmone,
Kinji Akagawa,
Carl Ethan Akeley,
Benjamin Paul Akers,
Manasie Akpaliapik,
Francesco Albani,
Grace Albee,
Giovanni Alberghetti I,
Anni Albers,
Josef Albers,
Cherubino Alberti,
Giovanni Alberti,
Leon Baptista Alberti,
Mariotto Albertinelli,
Ivan Albright,
Conrad Albrizio,
Heinrich Aldegrever,
Pierre Alechinsky,
William Van Alen,
Francis Alexander,
John White Alexander,
Peter Alexander,
William Alexander,
Carlos Alfonzo,
Alessandro Algardi,
Mihr Ali,
Ali ibn Muhhamad,
Giuseppe Alinari,
Henry Thomas Alken,
Samuel Alken Sr.,
David Allan,
William Allan,
Christophe-Gabriel Allegrain,
Etienne Allegrain,
Gabriel Allegrain,
Anne Allen,
Anne Huntington Allen,
Douglas Allen,
Greta Allen,
Mary Cecil Allen,
Terry Allen,
Helen Allingham,
Edward Allington,
Thomas Allom,
Jennifer Allora,
Alessandro Allori,
Cristofano Allori,
Washington Allston,
Laura Alma-Tadema,
Sir Lawrence Alma-Tadema,
Darren Almond,
Peder Als,
Denys van Alsloot,
Charles Alston,
Jakob Alt,
Otmar Alt,
Rudolf von Alt,
Albrecht Altdorfer,
Mathias Alten,
Pawel Althamer,
Kai Althoff,
Altichiero,
Natan Altman,
John Altoon,
Aby Altson,
Mabel Alvarez,
Manuel Alvarez Bravo,
Francis Alys,
Giovanni Antonio Amadeo,
Edmond-Francois Aman-Jean,
Nicholas Amantea,
Antonio Henrique Amaral,
Tarsila do Amaral,
The Amasis Painter,
Eugene-Emmanuel Amaury-Duval,
Christoph Amberger,
Gregory Amenoff,
Ghada Amer,
Mark Amerika,
Friedrich von Amerling,
Ezra Ames,
Giacomo Amiconi,
Cuno Amiet,
Jost Amman,
Bartolommeo Ammanati,
Carlos Amorales,
Emma Amos,
Jan van Amstel,
An He,
Auguste Anastasi,
Anna Ancher,
Michael Ancher,
Kaigetsudo Anchi,
Wesley Anderegg,
Mogens Andersen,
Carlos Anderson,
J. Anderson,
Laurie Anderson,
Ruth A. Anderson,
Sophie Anderson,
Stanley Anderson,
Walter Anderson,
Tadao Ando,
Andokides,
Albert Andre,
Carl Andre,
Zoan Andrea,
Andrea da Firenze,
Andrea del Brescianino,
Andrea del Castagno,
Andrea del Sarto,
Andrea di Bartolo,
Andrea di Vanni d'Andrea,
Andre Andreani,
Ion Andreescu,
Libero Andreotti,
Benny Andrews,
Michael Andrews,
Sybil Andrews,
Pierre Andrieu,
Barbara Andrus,
Abraham Angel,
Giuseppe Angeli,
Heinrich von Angeli,
Fra Angelico,
Peter Angellis,
Hermen Anglada Camarasa,
Charles Angrand,
Raul Anguiano,
Francois Anguier,
Michel Anguier,
Lucia Anguissola,
Sofonisba Anguissola,
Albert Anker,
David Annesley,
Pietro Annigoni,
Louis Anquetin,
Pieter van Anraadt,
Andrea Ansaldo,
Richard Ansdell,
Michelangelo Anselmi,
Giovanni Anselmo,
Anselmo da Campione,
Thomas Anshutz,
Benedetto Antelami,
Horst Antes,
Louis-Joseph Anthonissen,
Antico,
Alexandre Antigna,
Antimenes Painter,
Jose Claudio Antolinez,
Stephen Antonakos,
Antonello da Messina,
Antonello de Saliba,
Janine Antoni,
Antonio da Fabriano,
Garo Zareh Antreasian,
Aleksei Antropov,
Nemesio Antunez,
Richard Anuszkiewicz,
Siegfried Anzinger,
Jose Aparicio,
Apollonio di Giovanni,
James Aponovich,
Charles Appel,
Karel Appel,
Dieter Appelt,
Adolphe Appian,
Andrea Appiani,
Ida Applebroog,
Ulrich Apt the Elder,
Ken Aptekar,
Jose Aragon,
Shusaku Arakawa,
Nobuyoshi Araki,
Alessandro Araldi,
Diane Arbus,
James Archer,
Alexander Archipenko,
Felipe Archuleta,
Giuseppe Arcimboldo,
Roy Arden,
Mordecai Ardon,
Juan de Arellano,
Stuart Arends,
Arent Arentsz.,
Ivan Petrovich Argunov,
Avigdor Arikha,
Marshall Arisman,
Abram Arkhipov,
Siah Armajani,
Arman,
Maxwell Armfield,
Edward Armitage,
Kenneth Armitage,
John Armleder,
John Taylor Arms,
Henry Hugh Armstead,
David Maitland Armstrong,
Ian Armstrong,
John Armstrong,
William Armstrong,
George Arnald,
Robert Arneson,
Alberto Arnoldi,
Charles Arnoldi,
Arnolfo di Cambio,
Jean Arnould,
Claude Arnulphy,
Jean Arp,
Eduardo Arroyo,
Art and Language,
William Artaud,
Richard Artschwager,
Boris Artzybasheff,
Arvilland,
Egid Quirin Asam,
Kosmas Damian Asam,
Pieter Jansz. van Asch,
Charles Robert Ashbee,
Michael Asher,
Kenojuak Ashevak,
Tommy Ashevak,
Kaka Ashoona,
Pitseolak Ashoona,
Julian Ashton,
Amico Aspertini,
Tiziano Aspetti,
Steven Assael,
Jan Asselyn,
Gioacchino Assereto,
Federico Assler,
Balthasar van der Ast,
Asteas,
Zacharie Astruc,
Nikolai Astrup,
Kutlug Ataman,
Eugene Atget,
Anna Atkins,
John Augustus Atkinson,
W.E. Atkinson,
George A. Atkison,
Dr. Atl,
Jean-Michel Atlan,
Attavante Degli Attavanti,
Dotty Attie,
Rene Auberjonois,
Charles Aubry,
John James Audubon,
John Woodhouse Audubon,
Frank Auerbach,
William Auerbach-Levy,
Louis-Augustin Auguin,
Robert-Joseph Auguste,
George Ault,
James Aumonier,
Darrel Austin,
Rudy Autio,
Mario Avati,
Jacques-Andre-Joseph Aved,
Richard Avedon,
Francesco Xanto Avelli,
Barent Avercamp,
Hendrick Avercamp,
Milton Avery,
Alice Aycock,
Heneage Finch, Fifth Earl of Aylesford,
Heneage Finch, Fourth Earl of Aylesford,
Gillian Ayres,
Michael Ayrton,
Luis Cruz Azaceta,
Dirck van Baburen,
Judith Baca,
Francesco Bacchiacca,
Otto Henry Bacher,
Il Baciccio,
Harriet Backer,
Jacob Adriaensz. Backer,
Jacob de Backer,
Ludolf Backhuysen,
Francis Bacon,
Henry Bacon,
John Henry F. Bacon,
Peggy Bacon,
Sir Nathaniel Bacon,
Sisto Badalocchio,
Joseph Badger,
Donald Baechler,
John Baeder,
Jan de Baen,
George Baer,
Jo Baer,
Henry Howard Bagg,
Giovanni Baglione,
Marco Bagnoli,
David Bailey,
Roger Bailey,
William Bailey,
Francois Baillairge,
Alice Bailly,
David Bailly,
Edward Hodges Baily,
Saul Baizerman,
Enrico Baj,
Bryant Baker,
William Bliss Baker,
Leon Bakst,
John Baldessari,
Alessio Baldovinetti,
Cyrus LeRoy Baldridge,
Hans Baldung Grien,
Edouard Baldus,
Lew Baldwin,
Hendrick van Balen,
Antonio Balestra,
Miroslaw Balka,
Stephan Balkenhol,
Alice Worthington Ball,
Thomas Ball,
Giacomo Balla,
Ole Peter Hansen Balling,
Jose Balmes,
Balthus,
The Baltimore Painter,
Lewis Baltz,
Edme-Pierre Balzac,
James Bama,
Bambaia,
Baccio Bandinelli,
Giovanni Bandini,
Thomas Banks,
Banksy,
Fiona Banner,
Edward M. Bannister,
Evrard Bapst,
Marciano Baptista,
Miklos Barabas,
William Barak,
Frida Baranek,
Wladimir Baranoff-Rossine,
Jean Barbault,
Charles Burton Barber,
Giuseppe Barberi,
Jean Barbet,
Olivo Barbieri,
Miquel Barcelo,
Eliza Rosanna Barchus,
James Bard,
John Bard,
Dirck Barendsz.,
James Barenger,
Charles Bargue,
Barisano da Trani,
Albert Winslow Barker,
Clive Barker,
Margaret Barker,
Thomas Jones Barker,
Wright Barker,
Thomas Barker of Bath,
Ernst Barlach,
Francis Barlow,
Barna da Siena,
Barnaba da Modena,
George Grey Barnard,
George N. Barnard,
Rev. William Henry Barnard,
Ernie Barnes,
Will Barnet,
Matthew Barney,
Tina Barney,
Wilhelmina Barns-Graham,
J.M. Barnsley,
Federico Barocci,
Francois Barois,
Rafael Barradas,
Laureano Barrau,
Jean-Auguste Barre,
George Barret Jr.,
George Barret Sr.,
Bill Barrett,
Robert Barrett-Browning,
Louis-Ernest Barrias,
Gracia Barrios,
Hugh Barron,
Joseph Charles Barrow,
Anne Meredith Barry,
James Barry,
Robert Barry,
William Gerard Barry,
Hercules Barsotti,
Yael Bartana,
Uta Barth,
Richmond Barthe,
Melchiorre Barthel,
Frederic-Auguste Bartholdi,
Paul-Albert Bartholome,
Sara Norwood Bartle,
Bo Bartlett,
Jennifer Bartlett,
Paul Wayland Bartlett,
William Henry Bartlett,
Lorenzo Bartolini,
Bartolo di Fredi,
Bartolomeo da Brescia,
Bartolomeo di Giovanni,
Bartolomeo Veneto,
Fra Bartolommeo,
Francesco Bartolozzi,
Hendrik Bary,
Antoine-Louis Barye,
Marco Basaiti,
Afro Basaldella,
Mirko Basaldella,
Pierre Francois Basan,
Basawan,
Evaristo Baschenis,
Graeme Base,
Georg Baselitz,
Maria Bashkirtseff,
James Basire,
Leonard Baskin,
Jean-Michel Basquiat,
Francesco Bassano,
Jacopo Bassano,
Leandro Bassano,
Bartholomeus van Bassen,
Marcantonio Bassetti,
Lazzaro Bastiani,
Giovanni Bastianini,
Il Bastianino,
Alfred Bastien,
Jules Bastien-Lepage,
James Bateman,
Robert Bateman,
Robert Bateman 1842-1922,
David Bates,
Harry Bates,
Maxwell Bates,
Pompeo Batoni,
Pierre-Antoine Baudouin,
Paul Baudry,
Gustav Bauernfeind,
Lubin Baugin,
Charles Baugniet,
Charles Baum,
Walter Emerson Baum,
Leila T. Bauman,
Gustave Baumann,
Karl Baumann,
Willi Baumeister,
Lothar Baumgarten,
Johann Wolfgang Baumgartner,
Peter Baumgartner,
Edward Bawden,
George Baxter,
Herbert Bayer,
Ramon Bayeu,
Francisco Bayeu y Subias,
Thomas Bayrle,
Jean Bazaine,
Ercole Bazicaluva,
Frederic Bazille,
William Baziotes,
Giuseppe Bazzani,
Ernesto Bazzaro,
Thomas Beach,
Gifford Beal,
Jack Beal,
Reynolds Beal,
Mary Beale,
Lawrence Beall-Smith,
Carl Beam,
Mark Beam,
Caroline Van Hook Bean,
Adelia Belle Beard,
Richard Beard,
William Holbrook Beard,
Romare Bearden,
Aubrey Beardsley,
The Beardsley Limner,
Jackson Beardy,
George Beare,
Bruce Beasley,
Felice A. Beato,
Cecil Beaton,
J.W. Beatty,
Robert Beauchamp,
Sir George Howland Beaumont,
Andre Beauneveu,
Cecilia Beaux,
Domenico Beccafumi,
Francesco Beccaruzzi,
Gaspar Becerra,
Bernhard Becher,
Hilla Becher,
Robert Bechtle,
Leonhard Beck,
Tova Beck-Friedman,
Ferdinand Becker,
Fred Becker,
Clarice Beckett,
Francis A. Beckett,
William Beckman,
Max Beckmann,
James Carroll Beckwith,
Francis Bedford,
Jose Bedia,
Sir William Beechey,
Vanessa Beecroft,
Cornelis Beelt,
Olive Beem,
Jan de Beer,
Sir Max Beerbohm,
Jan van Beers,
Julia Hart Beers,
Jan Abrahamsz. Beerstraten,
Osias Beert the Elder,
Cornelis Bega,
Karl Begas the Elder,
Harrison Begay,
Abraham Begeyn,
Barthel Beham,
Hans Sebald Beham,
Edmund Behles,
William Behnes,
Leigh Behnke,
Peter Behrens,
Norman Bel Geddes,
Pierre de Belay,
Belbello da Pavia,
Cecil C. Bell,
Charles Bell,
Dozier Bell,
Edward A. Bell,
George Bell,
John Zephaniah Bell,
Julie Bell,
Larry Bell,
Leland Bell,
Peter Bell,
Robert Anning Bell,
Trevor Bell,
Vanessa Bell,
F.M. Bell-Smith,
Hippolyte Bellange,
Jacques Bellange,
Bartolomeo Bellano,
John Bellany,
Alexis Simon Belle,
Henri Bellechose,
Jean Bellegambe,
Gaetano Bellei,
Albert Belleroche,
Jean Bellette,
Valerio Belli,
Elinor Bellingham-Smith,
Gentile Bellini,
Giovanni Bellini,
Jacopo Bellini,
Hans Bellmer,
A. Belloguet,
Bernardo Bellotto,
Albert Fitch Bellows,
George Wesley Bellows,
Antonio Bellucci,
Leon Belly,
Bonifacio Bembo,
Ludwig Bemelmans,
Howard Ben Tre,
Francesco Benaglio,
Peter Paul Benazech,
Henry Benbridge,
Wilhelm Bendz,
Sylvia Bendzsa,
Benedetto da Maiano,
Benedetto da Rovezzano,
Luis Fernando Benedit,
Lynda Benglis,
Billy Al Bengston,
Simon Bening,
Ben Benjamin,
Ben Benn,
John Bennett,
Rainey Bennett,
William James Bennett,
Robert Benney,
Aleksandr Benois,
Nadia Benois,
Marie-Guillemine Benoist,
Francois-Leon Benouville,
Jean-Achille Benouville,
Ambrosius Benson,
Frank Weston Benson,
Leslie Langille Benson,
Douglas Wayne Bentham,
Fletcher Benton,
Thomas Hart Benton,
Benvenuto di Giovanni,
Giovanni Maria Benzoni,
Jean Beraud,
Nicolaes Berchem,
Gerrit Adriaensz. Berckheyde,
Job Berckheyde,
Elizabeth Berdann,
Adrian Berg,
Pierre-Nolasque Bergeret,
Christoffel van den Berghe,
Johann Georg Bergmuller,
Yosl Bergner,
Bergognone,
Antoine Berjon,
John Berkey,
Tony Berlant,
The Berlin Painter,
Bonaventura Berlinghieri,
Eugene Berman,
Wallace Berman,
Bartolome Bermejo,
Emile Bernard,
Giovanni Bernardi,
Martin Bernat,
Antonio Berni,
Oscar Edmund Berninghaus,
Gianlorenzo Bernini,
Pietro Bernini,
Theresa Ferber Bernstein,
Louis Beroud,
Alonso Berruguete,
Pedro Berruguete,
David Berry,
George Theodore Berthon,
Edouard Bertin,
Jean-Victor Bertin,
Nicolas Bertin,
Harry Bertoia,
Bertoldo di Giovanni,
Ray Bertrand,
Vincent Bertrand,
Giovanni Battista Bertucci,
Albert Besnard,
Jolan Gross Bettelheim,
Bartolomeo Bettera,
John Bettes,
Louis Betts,
Joachim Beuckelaer,
Lorne Beug,
Joseph Beuys,
Robert Bevan,
Tony Bevan,
Ambrogio Bevilacqua,
Thomas Bewick,
Dawoud Bey,
Jan de Beyer,
Abraham Hendrickz. van Beyeren,
Biagio d'Antonio da Firenze,
Domenico Bianchi,
Mose Bianchi,
Pamela Bianco,
Francois-Auguste Biard,
Pierre Biard,
Ferdinando Galli Bibiena,
Francesco Galli Bibiena,
Giuseppe Galli Bibiena,
Bicci di Lorenzo,
Frank Bicknell,
Alexandre Bida,
Jean-Joseph-Xavier Bidauld,
George Biddle,
Biduino,
Charles Biederman,
Boleslas Biegas,
Martin-Guillaume Biennais,
David Bierk,
Albert Bierstadt,
Guido Bigarelli,
John Biggers,
Myra Biggerstaff,
Trophime Bigot,
Martin Bigum,
Jan van Bijlert,
Ivan Bilibin,
Anna Bilinska,
Giovanni Bilivert,
Max Bill,
Ejler Bille,
Richard Billingham,
Jacob Binck,
Ilse Bing,
George Caleb Bingham,
Paul Binnie,
Charles Bell Birch,
S.J. Lamorna Birch,
Thomas Birch,
William Russell Birch,
Alexander Birchler,
Birger Sandzen,
Sir Oswald Hornby Joseph Birley,
Dara Birnbaum,
Renato Birolli,
Elmer Bischoff,
Franz Bischoff,
Isabel Bishop,
Pierre Bismuth,
Giuseppe Bernardino Bison,
Cornelis Bisschop,
Julius Bissier,
Roger Bissiere,
Pier Francesco Bissolo,
Leonardo Bistolfi,
Rhona Bitner,
Eugene de Blaas,
Helene Black,
Olive Parker Black,
Elizabeth Blackadder,
Ed Blackburn,
Joseph Blackburn,
Robert Blackburn,
Charles Blackman,
Tom Blackwell,
David Blackwood,
Ronald Bladen,
Dennis Blagg,
Nell Blaine,
Edmund Blair-Leighton,
Jeremy Blake,
Peter Blake,
William Blake,
Marian Blakelock,
Ralph Albert Blakelock,
Norman Blamey,
Edmund Blampied,
Jacques Blanchard,
Maria Blanchard,
Jacques-Emile Blanche,
Louis-Gabriel Blanchet,
Beatrice Bland,
Louis Nicolas van Blarenberghe,
Blas de Ledesma,
Edwin Howland Blashfield,
Carl Blechen,
Ross Bleckner,
Eugene Blery,
Douglas Percy Bliss,
Albert Bloch,
Lucienne Bloch,
Martin Bloch,
Benjamin Block,
Abraham Bloemaert,
Jan Frans van Bloemen,
Pieter van Bloemen,
Lancelot Blondeel,
Merry-Joseph Blondel,
Barbara Bloom,
Hyman Bloom,
Pieter de Bloot,
Karl Blossfeldt,
Sandra Blow,
Oscar Bluemner,
Norman Bluhm,
Oscar Bluhm,
Robert Frederick Blum,
Peter Blume,
Ernest Leonard Blumenschein,
David Gilmour Blythe,
Etienne Bobillet,
Boccaccio Boccaccino,
Camillo Boccaccino,
Giovanni Boccati,
Umberto Boccioni,
Mel Bochner,
John Bock,
Arnold Bocklin,
Christoffel Bockstorffer,
Henry John Boddington,
Floriano Bodini,
Karl Bodmer,
Johann Boeckhorst,
Herbert Boeckl,
Sir Joseph Edgar Boehm,
Karl Boehme,
Pieter Boel,
Alighiero e Boetti,
Bram Bogart,
Jakob Bogdany,
Frank M. Boggs,
Skunder Boghossian,
John Bogle,
Walter E. Bohl,
Michael Bohme,
Aaron Bohrod,
Louis-Leopold Boilly,
Alfred Boisseau,
Felix Boisselier,
Jean-Jacques de Boissieu,
Louis-Simon Boizot,
Hannes Bok,
Ferdinand Bol,
Hans Bol,
Giovanni Boldini,
Niccolo Boldrini,
Pedro de Bolduque,
Ilya Bolotowsky,
Boetius Bolswert,
Christian Boltanski,
Giovanni Antonio Boltraffio,
David Bomberg,
Camille Bombois,
Bartolomeo Bon,
Giovanni Bon,
Bon de Boullogne,
Agostino Bonalumi,
Bonanno da Pisa,
Giulio di Antonio Bonasone,
Antonio Bonazza,
Evaristo Boncinelli,
Charles V. Bond,
Marion Bond,
Henry Bone,
Sir Muirhead Bone,
Stephen Bone,
Chesley Bonestell,
Benedetto Bonfigli,
Auguste Bonheur,
Rosa Bonheur,
Paolo Boni,
Gino Bonichi,
Richard Parkes Bonington,
Bonino da Campione,
Pierre Bonnard,
Leon Bonnat,
Pierre Bonnaud,
Jean-Claude Bonnefond,
William Bonnell,
Jonathan Bonner,
Louis-Marin Bonnet,
Francesco Bonsignori,
Lee Bontecou,
Pierre Bontemps,
Monica Bonvicini,
Francois Bonvin,
