Maria A'Becket,878
Hans von Aachen,57000
Alvar Aalto,89600
Magdalena Abakanowicz,16000
Masseot Abaquesne,261
Riza-i Abbasi,5180
Louise Abbema,4260
Edwin Austin Abbey,11200
Berenice Abbott,47300
John White Abbott,2220
Lemuel Francis Abbott,814
Abel de Pujol,3150
Sigmund Abeles,2950
Gertrude Abercrombie,4310
Tony Abeyta,4240
Nicolai Abildgaard,2670
Ivor Abrahams,1200
Mark Abrahamson,7990
Marina Abramovic,239000
Albert Abramowitz,72
John Absolon,905
Tomma Abts,4190
Carla Accardi,3820
Vito Acconci,48100
Andreas Achenbach,6750
Oswald Achenbach,13400
Chris Achilleos,7300
The Achilles Painter,771
Franz Ackermann,20000
Max Ackermann,3280
Roger Ackling,2200
Lambert-Sigisbert Adam,1060
Nicolas-Sebastien Adam,725
Robert Adam,24000
Valerio Adami,5330
Ansel Adams,271000
Clinton Adams,4840
Herbert Adams,5390
John Ottis Adams,2990
John Wolcott Adams,646
Robert Adams,76300
Wayman Adams,650
Robert Adams 1937,10
Robert Adamson,18300
Louis-Emile Adan,1600
Bas Jan Ader,11900
Agbonbiofe Adeshina,3
Jankel Adler,2510
George Adomeit,69
Alexander Adriaenssen,6430
Pieter Coecke van Aelst,17300
Willem van Aelst,19500
Pieter Aertsen,6770
The Affecter,143
Yaacov Agam,14400
Eileen Agar,1830
Jacques-Laurent Agasse,5770
Knud Agger,91
Agostino di Duccio,1960
Agostino di Giovanni,3060
Agostino Veneziano,1160
Joaquin Agrasot y Juan,90
John Ahearn,14700
Eija-Liisa Ahtila,11200
Ai Weiwei,196000
William Aikman,1330
Mario Airo,344
Craigie Aitchison,2610
Doug Aitken,30800
Ivan Aivazovsky,28200
Giuseppe Ajmone,310
Kinji Akagawa,373
Carl Ethan Akeley,151
Benjamin Paul Akers,183
Manasie Akpaliapik,206
Francesco Albani,10700
